#Method,AppID,Placement,PrivateLabelID,ShopperID,ISC,displayCurrency,TransactionalCurrency
GetOffersAndMessageData,7,dccCrossSellBanner,1,3773903,,USD,USD
GetOffersAndMessageDataWithSubLocations,12,hccContainer,1,47251484,,MXN,MXN
GetOffersAndMessageData,7,dccCrossSellBanner,1,27931797,,USD,USD
GetOffersAndMessageDataWithSubLocations,2,iscBannerTop1000,1,9944279,apphcclgo,USD,USD
GetOffersAndMessageData,7,dccCrossSellBanner,1,8296672,,USD,USD
GetOffersAndMessageData,7,dccCrossSellBanner,1,51274594,,USD,USD
GetOffersAndMessageDataWithSubLocations,3,crmDealsOfTheDay,1,6jd,,USD,USD
GetOffersAndMessageData,39,appRotatingBanner08,1,32788664,,MXN,MXN
GetOffersAndMessageDataWithSubLocations,2,iscBannerSidebar,1,0,gimdas08,USD,USD
GetOffersAndMessageData,7,dccCrossSellBanner,1,4272890,,USD,USD
GetOffersAndMessageData,39,appRotatingBanner08,1,12350485,,USD,USD
GetOffersAndMessageDataWithSubLocations,2,iscBannerTop1000,1,2557357,999COM25,USD,USD
GetOffersAndMessageData,18,narrow_rotating_banner_right,1,29407462,,USD,USD
GetOffersAndMessageDataWithSubLocations,3,crmDealsOfTheDay,1,30374638,,USD,USD
GetOffersAndMessageData,7,dccCrossSellBanner,1,29600613,,USD,USD
GetOffersAndMessageDataWithSubLocations,3,crmDealsOfTheDay,1,45246304,,CAD,CAD
GetOffersAndMessageDataWithSubLocations,2,iscBannerTop1000,1,0,gppt05KINF,USD,USD
GetOffersAndMessageData,7,dccCrossSellBanner,1,8296672,,USD,USD
GetOffersAndMessageData,7,dccCrossSellBanner,1,44670919,,USD,USD
GetOffersAndMessageData,39,appRotatingBanner08,1,13272494,,USD,USD
GetOffersAndMessageDataWithSubLocations,3,crmDealsOfTheDay,1,45050674,,USD,USD
GetOffersAndMessageData,7,dccCrossSellBanner,1,33434480,,USD,USD
GetOffersAndMessageData,7,dccCrossSellBanner,1,50513895,,USD,USD
GetOffersAndMessageData,39,appRotatingBanner08,1,49063825,,USD,USD
GetOffersAndMessageDataWithSubLocations,12,hccContainer,1,41215453,,EUR,EUR
GetOffersAndMessageDataWithSubLocations,2,iscBannerTop1000,1,0,gfnn5sla19,USD,USD
GetOffersAndMessageDataWithSubLocations,3,crmDealsOfTheDay,1,53566575,,USD,USD
GetOffersAndMessageData,39,appRotatingBanner08,1,41028773,,USD,USD
GetOffersAndMessageData,7,dccCrossSellBanner,1,2324836,999COM25,USD,USD
GetOffersAndMessageData,7,dccCrossSellBanner,1,27931797,,USD,USD
GetOffersAndMessageData,39,appRotatingBanner08,1,28417591,,USD,USD
GetOffersAndMessageData,7,dccCrossSellBanner,1,29898314,,USD,USD
